epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.098,0.93474,2.04895,1.11234,0.61764,0.45621,0.51737,0.38121,0.86169,1.3289,1.07102,0.00030027,0.00030027,0.00030027
2,286.098,0.96229,1.20084,1.09135,0.6659,0.50234,0.55884,0.40611,0.90615,1.29923,1.07356,0.000593316,0.000593316,0.000593316
3,421.08,1.02119,1.21747,1.12356,0.67503,0.55908,0.5929,0.43546,0.92948,1.38778,1.05595,0.000876363,0.000876363,0.000876363
4,553.582,1.0347,1.15732,1.13747,0.75394,0.55316,0.62649,0.44798,0.94323,1.11961,1.04467,0.000864004,0.000864004,0.000864004
5,684.133,0.99159,1.08231,1.11064,0.7817,0.60009,0.66695,0.49446,0.83115,0.94534,1.00285,0.000849006,0.000849006,0.000849006
6,814.342,0.93948,0.99836,1.08547,0.74936,0.59584,0.65529,0.46141,0.84322,1.03408,0.98969,0.000834007,0.000834007,0.000834007
7,945.114,0.92086,0.96514,1.06633,0.78818,0.6167,0.68528,0.51384,0.79422,0.95399,0.96258,0.000819009,0.000819009,0.000819009
8,1074.77,0.90991,0.94799,1.06324,0.82566,0.62352,0.70846,0.54633,0.7704,0.83562,0.96962,0.00080401,0.00080401,0.00080401
9,1204.9,0.87708,0.89638,1.05021,0.84472,0.61186,0.71175,0.53664,0.77585,0.83968,0.9787,0.000789012,0.000789012,0.000789012
10,1335.8,0.87225,0.87499,1.04603,0.8729,0.65234,0.74959,0.57067,0.74212,0.74292,0.94282,0.000774013,0.000774013,0.000774013
11,1464.25,0.84897,0.82958,1.02499,0.88353,0.65121,0.75282,0.57997,0.73474,0.7171,0.93863,0.000759015,0.000759015,0.000759015
12,1593.43,0.81779,0.79719,1.02019,0.90094,0.63597,0.74807,0.56955,0.71842,0.69993,0.94077,0.000744016,0.000744016,0.000744016
13,1720.34,0.80493,0.76781,1.01703,0.88475,0.64859,0.7462,0.59036,0.69515,0.73114,0.92246,0.000729018,0.000729018,0.000729018
14,1849.6,0.79261,0.74733,0.9995,0.86252,0.6725,0.75406,0.59737,0.67953,0.70675,0.91474,0.000714019,0.000714019,0.000714019
15,1977.27,0.79108,0.74308,1.00633,0.8863,0.68403,0.76041,0.61054,0.65873,0.64712,0.91301,0.000699021,0.000699021,0.000699021
16,2104.92,0.7592,0.7253,0.98636,0.87019,0.69881,0.77125,0.61695,0.64951,0.62073,0.91127,0.000684022,0.000684022,0.000684022
17,2231.96,0.75839,0.71033,0.98809,0.85724,0.69646,0.7632,0.60802,0.66481,0.6403,0.92078,0.000669024,0.000669024,0.000669024
18,2359.46,0.74952,0.70344,0.98341,0.87267,0.7018,0.77863,0.62882,0.6303,0.59108,0.90047,0.000654025,0.000654025,0.000654025
19,2484.48,0.7494,0.68221,0.98624,0.89196,0.71042,0.78451,0.63457,0.61734,0.59481,0.89561,0.000639027,0.000639027,0.000639027
20,2611.16,0.71845,0.6595,0.97334,0.90513,0.69159,0.78505,0.62104,0.62234,0.56502,0.90056,0.000624028,0.000624028,0.000624028
21,2733.45,0.69937,0.62575,0.96167,0.89508,0.71032,0.78493,0.64247,0.60551,0.58125,0.88474,0.00060903,0.00060903,0.00060903
22,2858.94,0.69788,0.64066,0.96283,0.87723,0.69962,0.78235,0.63311,0.61437,0.58938,0.904,0.000594031,0.000594031,0.000594031
23,2984.01,0.70046,0.63379,0.96474,0.89536,0.70406,0.79401,0.648,0.60229,0.56727,0.88457,0.000579033,0.000579033,0.000579033
24,3108.39,0.68597,0.61989,0.95796,0.86416,0.71888,0.79247,0.64313,0.58581,0.54579,0.88065,0.000564034,0.000564034,0.000564034
25,3233.31,0.68798,0.60193,0.95589,0.88258,0.73225,0.79295,0.65188,0.57549,0.5288,0.87587,0.000549036,0.000549036,0.000549036
26,3359.8,0.66553,0.58667,0.95078,0.91463,0.70906,0.80746,0.6645,0.58836,0.53932,0.8797,0.000534037,0.000534037,0.000534037
27,3484.93,0.66762,0.57843,0.94241,0.9128,0.72199,0.80324,0.66605,0.56625,0.52525,0.87559,0.000519039,0.000519039,0.000519039
28,3609.14,0.65271,0.57997,0.94376,0.90319,0.71421,0.80327,0.65963,0.56386,0.51952,0.87521,0.00050404,0.00050404,0.00050404
29,3735.41,0.64998,0.57093,0.94074,0.91822,0.73657,0.81492,0.67083,0.54691,0.48493,0.87713,0.000489042,0.000489042,0.000489042
30,3859.85,0.6307,0.54352,0.93163,0.90261,0.74115,0.81467,0.67105,0.54915,0.50045,0.86811,0.000474043,0.000474043,0.000474043
31,3983.09,0.63791,0.55959,0.93246,0.88941,0.74368,0.80612,0.66541,0.5676,0.53264,0.87043,0.000459045,0.000459045,0.000459045
32,4109.15,0.63157,0.53962,0.93053,0.91236,0.73826,0.81334,0.67924,0.5424,0.5026,0.86592,0.000444046,0.000444046,0.000444046
33,4235.19,0.61211,0.53011,0.92383,0.92251,0.73941,0.82238,0.69065,0.54249,0.48161,0.87014,0.000429048,0.000429048,0.000429048
34,4359.52,0.61206,0.52526,0.92526,0.91353,0.75462,0.82769,0.6852,0.52403,0.46668,0.85948,0.000414049,0.000414049,0.000414049
35,4486.47,0.6025,0.51926,0.92315,0.89546,0.7501,0.82004,0.68357,0.52074,0.48831,0.85408,0.000399051,0.000399051,0.000399051
36,4614.21,0.59402,0.51292,0.92188,0.91115,0.76611,0.83113,0.69407,0.51476,0.45436,0.85414,0.000384052,0.000384052,0.000384052
37,4740.86,0.58884,0.51055,0.91617,0.91684,0.74444,0.82617,0.69247,0.51075,0.47016,0.85278,0.000369054,0.000369054,0.000369054
38,4867.9,0.58697,0.49066,0.91597,0.91355,0.74458,0.83147,0.69686,0.51449,0.45384,0.85117,0.000354055,0.000354055,0.000354055
39,4992.38,0.57446,0.47772,0.91042,0.88845,0.7343,0.82333,0.69144,0.50185,0.45832,0.84354,0.000339057,0.000339057,0.000339057
40,5117.96,0.56578,0.46934,0.90585,0.92208,0.75316,0.82875,0.69999,0.49349,0.45141,0.84832,0.000324058,0.000324058,0.000324058
41,5245.06,0.56333,0.47184,0.90675,0.9288,0.74637,0.83145,0.70276,0.49879,0.4287,0.84214,0.00030906,0.00030906,0.00030906
42,5370.79,0.55791,0.46097,0.8984,0.92984,0.75189,0.83455,0.70308,0.49061,0.45604,0.8395,0.000294061,0.000294061,0.000294061
43,5494.67,0.55798,0.45795,0.89849,0.91976,0.76566,0.83317,0.70068,0.48488,0.43318,0.83848,0.000279063,0.000279063,0.000279063
44,5619.96,0.54439,0.45139,0.89353,0.94804,0.74828,0.84156,0.70666,0.48631,0.42428,0.8345,0.000264064,0.000264064,0.000264064
45,5745.18,0.54283,0.44251,0.89583,0.94731,0.74682,0.84483,0.71301,0.47773,0.40503,0.83748,0.000249066,0.000249066,0.000249066
46,5869.5,0.5446,0.44681,0.89532,0.94159,0.75576,0.84397,0.70535,0.47606,0.41646,0.83983,0.000234068,0.000234068,0.000234068
